Planet Name,Planet Letter,Host Name,TIC ID,Gaia DR3 ID,Discovery Year,Discovery Method,Discovery Facility,Discovery Locale,Number of stars,Number of planets,Reference,ADS link,Last Updated,Planet Mass [Mjup],Planet Mass - Upper Unc [Mjup],Planet Mass - Lower Unc [Mjup],Relative Mass Error,Planet Msin(i) [Mjup],Planet Msin(i) - Upper Unc [Mjup],Planet Msin(i) - Lower Unc [Mjup],Planet Radius [Rjup],Planet Radius - Upper Unc [Rjup],Planet Radius - Lower Unc [Rjup],Relative Radius Error,Orbital Period [days],Orbital Period - Upper Unc [days],Orbital Period - Lower Unc [days],Orbit Semi-Major axis [au],Orbit Semi-Major axis - Upper Unc [au],Orbit Semi-Major axis - Lower Unc [au],Source of the Orbit Semi-Major axis,Eccentricity,Eccentricity - Upper Unc,Eccentricity - Lower Unc,Eccentricity Upper Limit Flag,Insolation Flux [Earth Flux],Insolation Flux - Upper Unc [Earth Flux],Insolation Flux - Lower Unc [Earth Flux],Equilibrium Temperature [K],Equilibrium Temperature - Upper Unc [K],Equilibrium Temperature - Lower Unc [K],Inclinaison [deg],Inclinaison - Upper Unc [deg],Inclinaison - Lower Unc [deg],Projected Obliquity [deg],Projected Obliquity - Upper Unc [deg],Projected Obliquity - Lower Unc [deg],Projected Obliquity Reference,Epoch of Periastron [days],Epoch of Periastron - Upper Unc [days],Epoch of Periastron - Lower Unc [days],Argument of Periastron [deg],Argument of Periastron - Upper Unc [deg],Argument of Periastron - Lower Unc [deg],Impact parameter,Impact parameter - Upper Unc,Impact parameter - Lower Unc,Source of the Impact parameter,Transit Depth [%],Transit Depth - Upper Unc [%],Transit Depth - Lower Unc [%],Source of the Transit Depth,Transit Duration [hrs],Transit Duration - Upper Unc [hrs],Transit Duration - Lower Unc [hrs],Transit Midpoint [days],Transit Midpoint - Upper Unc [days],Transit Midpoint - Lower Unc [days],Measured Radial Velocity Semi-Amplitude [m/s],Measured Radial Velocity Semi-Amplitude - Upper Unc [m/s],Measured Radial Velocity Semi-Amplitude - Lower Unc [m/s],Spectral Type,Stellar Effective Temperature [K],Stellar Effective Temperature - Upper Unc [K],Stellar Effective Temperature - Lower Unc [K],Stellar Radius [Rsun],Stellar Radius - Upper Unc [Rsun],Stellar Radius - Lower Unc [Rsun],Stellar Mass [Msun],Stellar Mass - Upper Unc [Msun],Stellar Mass - Lower Unc [Msun],Stellar Metallicity [dex],Stellar Metallicity - Upper Unc [dex],Stellar Metallicity - Lower Unc [dex],Stellar Metallicity Ratio,Stellar Luminosity [log(Lsun)],Stellar Luminosity - Upper Unc [log(Lsun)],Stellar Luminosity - Lower Unc [log(Lsun)],Stellar Surface Gravity [log(cm/s**2)],Stellar Surface Gravity - Upper Unc [log(cm/s**2)],Stellar Surface Gravity - Lower Unc [log(cm/s**2)],Stellar Age [Gyr],Stellar Age - Upper Unc [Gyr],Stellar Age - Lower Unc [Gyr],Stellar Rotational Velocity [km/s],Stellar Rotational Velocity - Upper Unc [km/s],Stellar Rotational Velocity - Lower Unc [km/s],Stellar Rotational Period [days],Stellar Rotational Period - Upper Unc [days],Stellar Rotational Period - Lower Unc [days],V Mag,V Mag - Upper Unc,V Mag - Lower Unc,J Mag,J Mag - Upper Unc,J Mag - Lower Unc,K Mag,K Mag - Upper Unc,K Mag - Lower Unc,Distance [pc],Distance - Upper Unc [pc],Distance - Lower Unc [pc],Right Ascension [deg],Right Ascension - Error [deg],Declinaison [deg],Declinaison - Error [deg],Parallax [mas],Parallax Error [mas],Radial Velocity [km/s],Radial Velocity - Error [km/s],Teff [K] (Gaia DR3),Teff - Upper Unc [K] (Gaia DR3),Teff - Lower Unc [K] (Gaia DR3),[Fe/H] [dex] (Gaia DR3),[Fe/H] - Upper Unc [dex] (Gaia DR3),[Fe/H] - Lower Unc [dex] (Gaia DR3),Stellar Luminosity [log(Lsun)] (Gaia DR3),Stellar Luminosity - Upper Unc [log(Lsun)] (Gaia DR3),Stellar Luminosity - Lower Unc [log(Lsun)] (Gaia DR3),log(g) [log(cm/s**2)] (Gaia DR3),log(g) - Upper Unc [log(cm/s**2)] (Gaia DR3),log(g) - Lower Unc [log(cm/s**2)] (Gaia DR3),Stellar Age [Gyr] (Gaia DR3),Stellar Age - Upper Unc [Gyr] (Gaia DR3),Stellar Age - Lower Unc [Gyr] (Gaia DR3),Expected Radial Velocity Semi-Amplitude [m/s] - Computation,Planet Density [g/cm**3] - Computation,Planet Density - Upper Unc [g/cm**3] - Computation,Planet Density - Lower Unc [g/cm**3] - Computation,Insolation Flux [Earth Flux] - Computation,Insolation Flux - Upper Unc [Earth Flux] - Computation,Insolation Flux - Lower Unc [Earth Flux] - Computation,Equilibrium Temperature [K] - Computation,Equilibrium Temperature - Upper Unc [K] - Computation,Equilibrium Temperature - Lower Unc [K] - Computation,Transmission Spectroscopy Metric (TSM) - Computation,Emission Spectroscopy Metric (ESM) - Computation
55 Cnc e,e,55 Cnc,3,7,2004,Radial Velocity,McDonald Observatory,Ground,2,5,Bourrier et al. 2018,https://ui.adsabs.harvard.edu/abs/2018A%26A...619A...1B/abstract,2021-02-05,0.02514,0.00101,0.00104,0.0407716785998408,0.02498,0.001,0.00103,0.167,0.003,0.003,0.0179640718562874,0.7365474,1.3e-06,1.4e-06,0.01544,5e-05,5e-05,Reference,0.05,0.03,0.03,0,,,,,,,83.59,0.47,0.44,,,,Reference,,,,86.0,30.7,33.4,0.39,0.03,0.03,Reference,0.033,0.001,0.001,Reference,,,,2457063.2096,0.0006,0.0004,,,,K1V,5172.0,18.0,18.0,0.94,0.01,0.01,0.91,0.01,0.01,0.35,0.1,0.1,[Fe/H],,,,4.43,0.02,0.02,,,,,,,,,,5.95084,0.023,0.023,4.768,0.244,0.244,4.015,0.036,0.036,12.57960033416748,0.0169000625610351,0.0083999633789062,133.146760620834,0.0299438498914241,28.329783000362703,0.0198343899101018,79.44818375718161,0.0428778566420078,27.187503814697266,0.1224940121173858,5184.4775390625,1.45751953125,5.658203125,0.2849000096321106,0.0078999996185302,0.0459000170230865,-0.2092617154121399,0.0036081184446734,0.0035820936318486,4.4506001472473145,0.0007996559143066,0.004000186920166,,,,6.0,6.693819536239014,0.4499523115413412,0.4547715291140494,2594.1,19.62,19.59,1986.0,4.0,4.0,258.7618050864229,71.87504849573274
CoRoT-1 b,b,CoRoT-1,3,3,2008,Transit,CoRoT,Space,1,1,Barge et al. 2008,http://adsabs.harvard.edu/abs/2008yCat..34829017B,2014-05-14,1.03,0.12,0.12,0.116504854368932,1.02624,0.11956,0.11956,1.49,0.08,0.08,0.0536912751677852,1.5089557,6.4e-06,6.4e-06,0.02532,0.00133,0.00133,Reference,0.0,,,0,,,,1898.0,50.0,50.0,85.1,0.5,0.5,77.0,11.0,11.0,Pont et al. 2010,,,,,,,0.419,0.052,0.052,Reference,1.92654,0.058737,0.057855,Reference,,,,2454159.4532,0.0001,0.0001,,,,G0V,5950.0,150.0,150.0,1.11,0.05,0.05,0.95,0.15,0.15,-0.3,0.25,0.25,[M/H],,,,4.25,0.3,0.3,,,,,,,,,,13.623,0.114,0.114,12.462,0.029,0.029,12.149,0.027,0.027,706.4334716796875,22.170654296875,64.72760009765625,102.07985829449773,0.0142514836043119,-3.1021393407606364,0.0128131620585918,1.3000094915494622,0.016687661409378,25.292037963867188,3.3389153480529785,6299.2138671875,10.90966796875,9.2744140625,-0.332500010728836,0.0105000138282775,0.0079999864101409,0.3249962627887726,0.0100729282996022,0.0112709291279315,4.329500198364258,0.0755000114440918,0.0237002372741699,1.8548682928085327,0.6251975297927856,0.6220265626907349,188.04,0.3861326799598903,0.0767599897107775,0.0767599897107775,3296.62,347.92,348.31,2109.0,56.0,56.0,90.17206033208356,89.76559468541117
CoRoT-10 b,b,CoRoT-10,4,4,2010,Transit,CoRoT,Space,1,1,Bonomo et al. 2017,http://adsabs.harvard.edu/abs/2017A%26A...602A.107B/abstract,2019-03-18,2.73,0.14,0.14,0.0512820512820512,2.72913,0.13996,0.13996,0.97,0.07,0.07,0.0721649484536082,13.2406,0.0002,0.0002,0.1055,0.0019,0.002,Reference,0.524,0.018,0.018,0,,,,,,,88.55,0.2,0.2,,,,Reference,,,,217.6,2.9,3.2,0.727,0.111,0.111,Reference,1.592,0.306,0.306,Reference,,,,2454273.3443,0.0012,0.0012,,,,K2V,5075.0,75.0,75.0,0.79,0.05,0.05,0.89,0.05,0.05,0.26,0.07,0.07,,,,,,,,3.0,0.0,3.0,,,,,,,15.293,0.137,0.137,12.527,0.025,0.025,11.782,0.021,0.021,340.3999938964844,3.119903564453125,2.919586181640625,291.0636808655321,0.0217146165668964,0.7460111582459029,0.0176668893545866,2.913183753811996,0.0259545613080263,19.032045364379883,4.52918815612793,4772.052734375,36.03369140625,22.015625,-0.0432000011205673,0.0274000018835067,0.0210999995470047,-0.4836756289005279,0.0085245904982564,0.0101572275161743,4.48390007019043,0.0072999000549316,0.006500244140625,,,,296.89,3.709416368488626,0.8252919318341152,0.8252919318341152,34.64,1.36,1.43,675.0,7.0,7.0,5.756015254791573,11.27921997788053
CoRoT-11 b,b,CoRoT-11,1,4,2010,Transit,CoRoT,Space,1,1,Gandolfi et al. 2010,http://adsabs.harvard.edu/abs/2010A&A...524A..55G,2014-05-14,2.33,0.34,0.34,0.1459227467811159,2.31346,0.33759,0.33759,1.43,0.03,0.03,0.0209790209790209,2.99433,1.1e-05,1.1e-05,0.0436,0.005,0.005,Reference,0.0,,,0,,,,1657.0,55.0,55.0,83.17,0.15,0.15,0.1,2.6,2.6,Gandolfi et al. 2012,,,,,,,0.818,0.008,0.008,Reference,1.1449,0.010725,0.010675,Reference,2.5009,0.0144,0.0144,2454597.679,0.0003,0.0003,,,,F6V,6440.0,120.0,120.0,1.37,0.03,0.03,1.27,0.05,0.05,-0.03,0.08,0.08,[Fe/H],,,,4.22,0.23,0.23,2.0,1.0,1.0,38.47,0.07,0.07,,,,12.897,0.114,0.114,11.589,0.021,0.021,11.248,0.022,0.022,632.1878051757812,5.927978515625,5.7349853515625,280.6873000576669,0.0117093184962868,5.937657775709484,0.0130724580958485,1.53388824064662,0.0144358351826667,9.265685081481934,3.3774702548980717,6248.98876953125,16.99755859375,16.3251953125,-0.2372000068426132,0.0134000033140182,0.0141000002622604,0.4699322879314422,0.0098205830220555,0.0081548485904932,4.195300102233887,0.0072999000549316,0.0069003105163574,3.494446992874145,0.5521247386932373,0.5540521144866943,279.29,0.9881114877775432,0.1570274304879102,0.1570274304879102,1552.24,356.34,356.24,1747.0,100.0,100.0,28.643346207946927,56.26917357346896
CoRoT-12 b,b,CoRoT-12,2,3,2010,Transit,CoRoT,Space,1,1,Raetz et al. 2019,http://adsabs.harvard.edu/abs/2019MNRAS.483..824R,2019-10-04,0.873,0.081,0.078,0.0910652920962199,0.87055,0.08077,0.07778,1.344,0.074,0.071,0.0539434523809523,2.82805268,6.5e-07,6.5e-07,0.0392,0.0013,0.0013,Reference,0.0,,,0,,,,1417.0,20.0,20.0,85.71,0.39,0.36,,,,Reference,,,,,,,0.604,0.06,0.057,Reference,1.731,0.252,0.246,Reference,,,,2454398.62771,0.00024,0.00024,,,,G4V,5675.0,80.0,80.0,1.05,0.05,0.05,1.0,0.1,0.1,0.16,0.1,0.1,[Fe/H],0.07,0.01,0.01,4.38,0.03,0.03,6.17,3.69,3.69,,,,,,,15.588,0.183,0.183,14.024,0.032,0.032,13.557,0.042,0.042,961.6229248046876,23.30596923828125,24.84124755859375,100.76568737114494,0.0269418805837631,-1.2964442083205647,0.0271380525082349,0.8740815887138829,0.0315051116049289,,,5245.56884765625,40.39892578125,38.35498046875,-0.4875000119209289,0.0434000194072723,0.0478000044822692,-0.0968459472060203,0.0394082825011641,0.0249470025300979,4.420499801635742,0.0161004066467285,0.0162997245788574,,,,124.97,0.4459380981734187,0.0844846636783162,0.0811307011636255,520.69,40.17,36.9,1330.0,26.0,24.0,26.80256732076441,21.407215849238565
CoRoT-13 b,b,CoRoT-13,2,3,2010,Transit,CoRoT,Space,1,1,Cabrera et al. 2010,http://adsabs.harvard.edu/abs/2010A&A...522A.110C,2014-05-14,1.308,0.066,0.066,0.0504587155963302,1.30722,0.06596,0.06596,0.885,0.014,0.014,0.015819209039548,4.03519,3e-05,3e-05,0.051,0.0031,0.0031,Reference,0.0,,,0,,,,1700.0,,,88.02,0.34,0.36,,,,Reference,,,,,,,0.374,0.054,0.054,Reference,0.811,0.055,0.055,Reference,3.14,0.01,0.01,2454790.8091,0.0006,0.0006,,,,G0V,5945.0,90.0,90.0,1.01,0.03,0.03,1.09,0.02,0.02,0.01,0.07,0.07,[Fe/H],,,,4.46,0.05,0.05,1.635,1.515,1.515,4.0,1.0,1.0,,,,15.005,0.297,0.297,13.71,0.024,0.024,13.376,0.039,0.039,1010.8786010742188,62.85467529296875,36.55499267578125,102.72114341167152,0.0218698754906654,-5.086456156022558,0.0251273494213819,0.7964985877873196,0.0289998352527618,,,5793.70166015625,24.79833984375,18.21826171875,-0.257999986410141,0.032299980521202,0.0257000029087066,0.1661246418952942,0.0301375812784033,0.0223399512469768,4.3420000076293945,0.0247998237609863,0.0377001762390136,9.530352592468262,1.0877466201782229,1.4576263427734375,157.55,2.3401089180817154,0.1620989300986961,0.1620989300986961,563.62,70.59,69.67,1356.0,42.0,42.0,6.50367454530446,10.688048820149982
CoRoT-14 b,b,CoRoT-14,2,3,2010,Transit,CoRoT,Space,1,1,Bonomo et al. 2017,http://adsabs.harvard.edu/abs/2017A%26A...602A.107B/abstract,2019-03-18,7.42,0.47,0.47,0.0633423180592991,7.2981,0.46266,0.46266,1.09,0.07,0.07,0.0642201834862385,1.51214,0.00013,0.00013,0.02691,0.0007,0.00073,Reference,0.036,,,1,,,,,,,79.6,0.8,0.8,,,,Reference,,,,,,,0.863,0.09,0.09,Reference,0.857,0.158,0.158,Reference,,,,2454787.6702,0.0053,0.0053,,,,F9V,6040.0,100.0,100.0,1.21,0.08,0.08,1.13,0.09,0.09,0.05,0.15,0.15,,,,,,,,4.2,3.8,3.8,9.0,0.5,0.5,,,,15.932,0.206,0.206,14.321,0.036,0.036,13.806,0.053,0.053,1163.0579833984375,44.2879638671875,43.8277587890625,103.42420221836542,0.0316357798874378,-5.536039008207449,0.0315922424197196,0.5005587385978904,0.0374187342822551,,,5408.77001953125,178.21630859375,149.72412109375,-0.8418999910354614,0.2190999984741211,0.242400050163269,0.261039137840271,0.0562341371097415,0.0425993725657463,4.366700172424316,0.0383000373840332,0.0251002311706542,13.334197998046877,0.165802001953125,1.849365234375,1187.02,7.105302156671383,1.4409990184658603,1.4409990184658603,2518.9,192.97,173.76,1972.0,38.0,34.0,1.6380665757199409,16.758873928558668
CoRoT-17 b,b,CoRoT-17,2,4,2011,Transit,CoRoT,Space,1,1,Bonomo et al. 2017,http://adsabs.harvard.edu/abs/2017A%26A...602A.107B/abstract,2019-03-18,2.41,0.27,0.26,0.1099585062240663,2.40894,0.26989,0.25989,1.02,0.07,0.07,0.0686274509803921,3.7681,0.0003,0.0003,0.0481,0.0015,0.0016,Reference,0.081,,,1,,,,,,,88.3,1.5,1.5,,,,Reference,,,,,,,0.193,0.171,0.171,Reference,0.435,0.071,0.071,Reference,,,,2454923.31,0.0036,0.0036,,,,G3V,5740.0,80.0,80.0,1.59,0.07,0.07,1.04,0.1,0.1,0.0,0.1,0.1,,,,,,,,10.7,1.0,1.0,4.5,0.5,0.5,,,,16.29,0.32,0.32,13.174,0.038,0.038,12.472,0.054,0.054,921.8690185546876,22.30419921875,25.10894775390625,278.6992353859489,0.0303326100111007,-6.612289083347164,0.0276927966624498,0.8477913215900311,0.0329830572009086,,,5279.8193359375,25.47802734375,33.4873046875,-0.3003999888896942,0.0331999957561492,0.0320000052452087,0.5071630477905273,0.0431287248526533,0.0219778623431921,4.09499979019165,0.0083003044128417,0.007399559020996,7.185766696929932,1.1401925086975098,1.1311898231506348,306.91,2.816272452268668,0.6601079500794351,0.654602905124522,1389.55,105.37,97.36,1699.0,32.0,30.0,3.497054439896595,13.233753579313849
CoRoT-18 b,b,CoRoT-18,3,3,2011,Transit,CoRoT,Space,1,1,Southworth 2012,http://adsabs.harvard.edu/abs/2012IAUS..282..129S,2016-01-12,3.27,0.17,0.17,0.0519877675840978,3.2649,0.16982,0.16982,1.251,0.083,0.083,0.0663469224620303,1.9000693,2.8e-06,2.8e-06,0.0286,0.00068,0.00068,Reference,0.0,,,0,,,,1490.0,45.0,45.0,86.8,1.7,1.7,-10.0,20.0,20.0,Hebrard et al. 2011,,,,,,,0.373,0.2,0.2,Reference,1.953,0.363,0.363,Reference,,,,,,,,,,G8V,5440.0,100.0,100.0,0.92,0.06,0.06,0.86,0.06,0.06,-0.1,0.1,0.1,[Fe/H],,,,4.44,0.04,0.04,,,,,,,,,,14.868,0.172,0.172,13.441,0.024,0.024,13.014,0.03,0.03,758.514892578125,136.31610107421875,31.5960693359375,98.17241747386446,0.0235485695302486,-0.0316049270410154,0.0253411997109651,1.2770027228731575,0.0278182215988636,18.04547500610352,7.471446514129639,5279.708984375,49.87890625,89.90087890625,-0.3989000022411346,0.0466000139713287,0.0830000042915344,-0.177058458328247,0.0179493887928789,0.0158832110464572,4.416500091552734,0.028900146484375,0.1108999252319336,9.007399559020996,4.492600440979004,1.8217830657958984,590.84,2.071256877004068,0.4260951219404948,0.4260951219404948,813.22,41.33,40.77,1486.0,19.0,19.0,10.98467270531547,39.58162379744958
CoRoT-19 b,b,CoRoT-19,4,3,2011,Transit,CoRoT,Space,1,1,Bonomo et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract,2019-03-18,1.155,0.072,0.072,0.0623376623376623,1.1543,0.07196,0.07196,1.29,0.03,0.03,0.0232558139534883,3.89713,2e-05,2e-05,0.05166,0.00069,0.0007,Reference,0.056,,,1,,,,,,,88.0,0.7,0.7,-52.0,27.0,22.0,Guenther et al. 2011,,,,,,,0.235,0.082,0.082,Reference,0.646,0.043,0.043,Reference,,,,2455257.4418,0.0006,0.0006,131.5,7.5,7.3,F9V,6090.0,70.0,70.0,1.65,0.04,0.04,1.21,0.05,0.05,-0.02,0.1,0.1,[Fe/H],,,,,,,5.0,1.0,1.0,6.0,1.0,1.0,,,,14.135,0.149,0.149,12.324,0.024,0.024,11.837,0.024,0.024,798.3969116210938,10.5045166015625,10.26519775390625,97.03359894654108,0.0153001816943287,-0.1707301307522501,0.0166782662272453,1.1898726808867237,0.0180726945400238,24.76000595092773,3.929910898208618,5941.48876953125,38.56396484375,28.46240234375,-0.4005999863147735,0.0358999967575073,0.0296000242233276,0.4947165846824646,0.0127148897106599,0.0106398500502109,4.1219000816345215,0.0078001022338867,0.0083003044128417,6.341999053955078,0.7192277908325195,0.7321014404296875,131.42,0.6672229763003862,0.0624254048025095,0.0624254048025095,1170.6,34.63,34.08,1628.0,12.0,12.0,19.4264501965426,22.932860187218573
